Incident Begin Date,Incident End Date,State,State2,countyCode,Sequence,sequenceLength,sequenceLocation,Event
2020/8/22,2020/8/27,LA,Louisiana,22017,1,7,2,285
2020/9/13,2020/9/16,LA,Louisiana,22017,1,7,3,285
2020/10/6,2020/10/10,LA,Louisiana,22017,1,7,4,285
2020/10/26,2020/10/29,LA,Louisiana,22017,1,7,5,285
2021/8/26,2021/9/3,LA,Louisiana,22017,1,7,6,285
2021/9/12,2021/9/18,LA,Louisiana,22017,1,7,7,285
2019/2/14,2019/2/14,CA,California,,0,1,1,286
2017/1/3,2017/1/12,CA,California,6009,1,3,1,288
2017/1/18,2017/1/23,CA,California,6009,1,3,2,288
2017/2/1,2017/2/23,CA,California,6009,1,3,3,288
2019/2/13,2019/2/15,CA,California,6009,0,1,1,289
2016/3/8,2016/4/8,LA,Louisiana,22019,0,1,1,292
2017/8/27,2017/9/10,LA,Louisiana,22019,0,1,1,293
2019/7/10,2019/7/15,LA,Louisiana,22019,1,9,1,294
2020/6/5,2020/6/9,LA,Louisiana,22019,1,9,2,294
2020/8/22,2020/8/27,LA,Louisiana,22019,1,9,3,294
2020/9/13,2020/9/16,LA,Louisiana,22019,1,9,4,294
2020/10/6,2020/10/10,LA,Louisiana,22019,1,9,5,294
2020/10/26,2020/10/29,LA,Louisiana,22019,1,9,6,294
2021/5/17,2021/5/21,LA,Louisiana,22019,1,9,7,294
2021/8/26,2021/9/3,LA,Louisiana,22019,1,9,8,294
2021/9/12,2021/9/18,LA,Louisiana,22019,1,9,9,294
2013/10/30,2013/10/31,TX,Texas,48055,0,1,1,295
2015/5/4,2015/6/22,TX,Texas,48055,1,3,1,296
2015/10/22,2015/10/31,TX,Texas,48055,1,3,2,296
2016/5/22,2016/6/24,TX,Texas,48055,1,3,3,296
2017/8/23,2017/9/15,TX,Texas,48055,0,1,1,297
2012/8/26,2012/9/10,LA,Louisiana,22021,0,1,1,300
2016/3/8,2016/4/8,LA,Louisiana,22021,0,1,1,301
2019/5/10,2019/7/24,LA,Louisiana,22021,1,8,1,302
2020/6/5,2020/6/9,LA,Louisiana,22021,1,8,2,302
2020/8/22,2020/8/27,LA,Louisiana,22021,1,8,3,302
2020/9/13,2020/9/16,LA,Louisiana,22021,1,8,4,302
2020/10/6,2020/10/10,LA,Louisiana,22021,1,8,5,302
